codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
240790,202503,581,384909,664.78
240800,202503,32044,20285316,633.56
240810,202503,76128,50608241,665.44
240820,202503,5372,3608085,674.79
240830,202503,6413,4327313,674.77
240840,202503,712,459449,645.29
240850,202503,683,440775,645.35
240860,202503,1161,754277,649.68
240870,202503,635,414710,655.15
240880,202503,1026,687132,671.68
240890,202503,3402,2190776,644.54
240895,202503,2511,1696634,677.84
240910,202503,2389,1550512,649.02
240920,202503,612,408066,667.87
240930,202503,2242,1442167,644.69
240933,202503,1169,773993,662.67
240940,202503,4403,2861581,650.51
240950,202503,816,532632,652.74
240960,202503,509,341822,672.88
240970,202503,1322,873324,660.61
240980,202503,3263,2267954,695.05
240990,202503,2201,1395604,635.81
241000,202503,753,485505,644.76
241010,202503,2482,1645295,663.69
241020,202503,1359,879812,648.35
241025,202503,1110,729552,658.44
241030,202503,1965,1338211,681.37
241040,202503,1695,1183900,699.29
241050,202503,959,625504,652.25
241060,202503,542,342810,632.49
241070,202503,540,348045,644.53
241080,202503,682,443953,650.96
241090,202503,1437,956411,666.02
241100,202503,691,454251,658.33
241105,202503,857,538806,629.45
241110,202503,522,344268,659.52
241120,202503,5978,4035235,675.01
241140,202503,1981,1287485,650.9
241142,202503,355,223346,629.14
241150,202503,4400,2917395,664.1
241160,202503,513,340332,663.42
241170,202503,988,648528,656.4
241180,202503,528,340492,646.09
241190,202503,741,476545,643.11
241200,202503,18261,11929705,654.44
241210,202503,920,606491,659.23
241220,202503,7570,5095017,674.93
241230,202503,2301,1530354,665.37
241240,202503,470,307719,658.93
241250,202503,4728,3130457,662.25
241255,202503,2005,1321863,660.6
241260,202503,3131,2039674,651.86
241270,202503,1083,708468,657.82
241280,202503,2098,1353897,646.56
241290,202503,1995,1277684,641.41
241300,202503,1028,666189,648.67
241310,202503,1555,1037603,668.13
241320,202503,633,433398,684.67
241330,202503,1349,915295,678.5
